Season,Lg,Tm,year,W,L,Age,Wt.,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS,Playoffs
2017-18,NBA,SAC,34,-1.165049664,1.165049664,-0.091515064,-1.191439422,-0.588851365,0.024026348,-0.694081135,-1.004637016,-1.264041274,1.195912665,0.316215874,1.187468549,-1.462521947,-2.517376331,-2.205556677,-1.377997234,-0.23490822,-1.766575314,-1.53725179,-0.852549319,0.13097946,-0.889662022,-0.563069963,0.104082054,-2.016782259,-0.630793434,-1.467243258,0.922205403,1.669780577,1.257038167,1.449583059,-1.760283595,-2.086310396,1.040498566,-0.144067365,-0.086102155,-0.172350411,-0.879360459,0.620108959,0.195579565,0.228652263,0.133531304,-0.230258176,0.045917517,-2.175750892,-0.161349206,0
2017-18,NBA,SAS,34,0.499306999,-0.499306999,1.780383923,-1.191439422,-0.442855159,-0.434658434,-0.220844013,-1.342519419,-1.238743584,-0.87740321,0.690067152,0.975840491,-0.541731644,-0.299595018,-0.342955192,0.190799617,0.740864384,0.068509843,0.401447917,-0.228732744,-0.020150686,1.007721439,-1.155775187,-1.929148824,-0.973157654,-0.978657458,-0.705559599,-0.688495869,-1.661848136,-1.35760122,-1.292019743,-0.088647378,0.318365547,-0.619192398,-1.498730664,-1.3776345,-0.635381435,-0.734410933,-0.359010446,-0.712468414,-0.904120426,-0.200296956,-1.809171376,-0.204541644,-0.135984431,-1.999504598,1
2017-18,NBA,TOR,34,1.497920997,-1.497920997,-0.403498228,1.361645054,1.236101204,0.875869515,0.793235535,0.887504445,1.012750879,-0.336538199,0.176021645,-0.623127061,1.391927993,0.400756976,0.056173697,1.123597745,0.090349315,0.288720062,0.283950965,0.551037975,-0.171280831,1.640182592,-0.859422575,1.338543659,1.43520682,-0.839511848,-0.184407623,-1.067484404,-1.899821616,-2.011261067,-0.441177494,0.291269944,1.198951104,-1.576706416,1.017072606,1.006732907,-0.018006736,0.135286224,-0.848570149,-0.782318259,-0.904120426,-0.867953477,0.164470124,0.045917517,0.033996108,-0.743431747,2
2017-18,NBA,UTA,34,0.582524832,-0.582524832,0.158071468,1.645321107,-0.953841878,-2.07281837,0.117182503,0.211739637,0.152629399,0.384615149,-0.758606549,-0.881783576,0.194900599,0.108943645,-0.076869266,0.487599021,-0.777004111,0.288720062,-0.127288367,-0.436671603,1.340020621,0.375260285,0.424772077,-0.1863795,-0.59852318,-1.604812702,-1.226711576,-1.067484404,-1.185901177,-1.5084458,0.315126727,-1.000448951,-0.020321205,-1.44903788,-0.531114021,-0.582845364,0.290680613,-1.459158563,-0.568821748,-1.341117015,-2.036893114,0.968101955,-0.427622326,0.797295,0.543937723,-1.999504598,2
2017-18,NBA,WAS,34,0.166435666,-0.166435666,0.282864734,-0.624087316,0.214127766,-0.303605639,0.455209019,-0.396448689,-0.631599009,1.195912665,0.409678693,0.482041688,-0.127376007,0.108943645,0.056173697,0.190799617,0.307187671,-0.518717407,-0.244785319,1.018900406,0.282109605,-0.636677561,0.325987873,1.048082105,0.070466952,-0.422075019,-0.665470986,0.164228333,-0.352993999,0.100563053,-1.197481715,-0.240614306,-0.62995736,0.721327227,0.823549278,0.907384265,-0.481037761,0.135286224,-0.778633049,-0.712468414,-0.589461345,0.133531304,-0.230258176,0.797295,0.118986377,-0.100077359,1
2016-17,NBA,ATL,33,0.181818182,-0.181818182,0.832655384,-0.236662914,-0.677678817,-0.46381463,-0.461659272,-0.470978313,-0.223196209,-0.911942565,-0.098480854,-0.024459205,-0.16025532,0.17441658,0.979507966,-1.604392019,0.137672632,0.624603334,0.46217269,0.446692101,0.758892276,0.086089918,1.472990182,-1.053144386,-0.588741984,-0.156807371,0.677258741,-1.229551501,1.484130609,1.669065385,-0.041256276,-0.965831315,-0.586650067,-0.945380307,-1.219288933,-1.228796461,0.019201714,0.696660503,-0.111797648,0.215553816,0.482229305,1.714131425,0.715749821,1.469351445,1.613584925,-0.405412223,1
2016-17,NBA,BOS,33,1.090909091,-1.090909091,-0.435347742,-0.236662914,-0.321005755,-0.144466853,-0.238275753,1.475732049,1.58049272,0.103416146,-1.446113586,-1.492011502,0.596005656,0.566853881,0.049249004,1.289374408,-0.853570298,-0.411604966,-0.900644216,1.180980488,-0.325239547,-0.918292463,-0.528355174,0.439501203,0.593668695,-0.282253268,0.136892724,-0.669249565,-0.796070057,0,-1.975145425,0.198340362,0.135204506,0.130662319,0.683019212,0.755857617,-0.326428449,0.818881644,0.260861179,0.550033871,-0.012364854,-0.141371664,0.715749821,-0.050667291,0.374809094,-0.048445486,3
2016-17,NBA,BRK,33,-1.909090909,1.909090909,-0.371947586,1.242480299,-0.891682654,-0.098845742,-0.982887482,0.659369639,1.135747505,-1.081169016,-1.186953445,-1.069534325,0.109837886,1.024697398,0.815344619,0.593405267,-1.101381031,1.48811025,0.225161054,-0.562954432,-0.789867471,-0.057393279,2.033366881,0.688275468,0.051730467,1.599435183,1.938112779,0.077819682,0.404035557,0.095375165,0.654943817,1.491864447,1.785157816,-0.407358994,0.791722534,0.798084299,0.019201714,1.063323926,1.751496487,2.055194123,0.234932225,2.3768111,1.34729378,-0.658674786,0.470099543,1.761885824,0
2016-17,NBA,CHO,33,-0.454545455,0.454545455,-0.054946804,-1.419977484,-0.963017266,-0.00760352,-1.131809828,0.21978988,0.394505479,-0.347854392,-0.875961276,-0.380229459,-0.862497656,1.024697398,0.377575696,1.582414047,-1.101381031,1.229058175,0.047402327,0.21722698,-1.09961942,0.086089918,-1.96932383,-2.048241445,-0.169971535,0.282253268,0.389063532,-0.10894763,2.324204539,2.098253627,0.887010515,-0.965831315,-1.136634503,0.207522506,-1.980212191,-2.073330111,0.480041932,-1.503320033,1.316727856,0.494287195,1.162296273,-1.466731014,1.18940779,-0.861343951,-0.0063527,-0.226928854,0
2016-17,NBA,CHI,33,0,0,0.198653821,0.354994371,-0.321005755,0.767955368,-0.982887482,-1.287340724,-1.162102775,-0.968351382,0.834495654,1.420857451,-1.348665426,0.109010363,-0.333798804,0.959704815,1.707140605,0.624603334,1.647230868,-0.012238141,0.139388377,0.086089918,-0.288193731,-1.364112217,-0.662642651,0.282253268,0.425087933,-0.10894763,-0.916080618,-0.524563407,-0.969523067,0.715749996,0.788311024,-0.023058056,-1.762805546,-1.735516651,-0.211218395,0.207775939,-0.298127062,-0.174672916,0.605877845,-0.538979469,-0.231566119,-0.557340203,-1.054547634,-0.813374208,1
2016-17,NBA,CLE,33,0.909090909,-0.909090909,1.656857416,2.425794869,0.606344205,-0.235709075,0.953103013,2.103703134,1.704033058,1.513636578,-1.290617502,-1.647660988,1.298247992,-0.21802072,0.103970119,-0.871792924,-0.688363143,0.883655409,0.106655236,0.033654883,-1.719123319,-1.06177566,-0.208139917,-1.115337952,1.160240479,0.9722057,1.217624757,0.077819682,0.884077802,0.810688902,0.268165988,0.586397587,0.582066861,0.053802131,-1.273640594,-1.313249826,0.134411769,1.063323926,-0.111797648,0.382793844,1.285944813,-0.538979469,-0.705224089,-1.368016863,0.66068044,0.410511748,4
2016-17,NBA,DAL,33,-0.727272727,0.727272727,0.642454915,-1.715806127,-2.033036451,-1.421857962,-1.280732174,0.659369639,0.78983456,-0.122219123,-2.016265896,-1.380833297,-0.808479014,-1.983988573,-2.52264342,1.06959468,-1.844813229,-2.311320183,-2.915243119,-0.838312577,-0.325239547,-1.492225252,-1.649108573,-0.49340229,-1.894320442,-1.285820442,-2.312766551,1.105039897,-0.076006688,-0.810688902,1.737921741,-1.289212336,-1.617870885,0.514963257,-0.349662352,-0.342036128,0.019201714,-1.503320033,1.37883766,0.550033871,-0.816080362,-1.599266949,-2.126197999,0.962678533,-0.482804942,-1.221336193,0
2016-17,NBA,DEN,33,-0.090909091,0.090909091,-0.879148836,-0.532491557,1.533694165,1.041682034,0.87864184,0.59657253,0.443921614,0.611095502,0.627167541,0.10895464,0.812080221,0.566853881,0.596460158,0.080585901,1.376726295,1.056356792,1.706483777,1.226873513,-1.254495395,-1.205258858,0.832559668,-0.49340229,1.50511026,1.913049925,1.073527153,1.852109145,0.284024996,-0.333813077,1.351143911,1.879921673,1.269547406,1.206704945,-0.404014014,-0.510942858,1.171302258,-0.892214328,-1.229774129,-1.51259314,0.853174924,0.78637988,0.242091851,-1.976024357,0.279518646,1.430416711,0
2016-17,NBA,DET,33,-0.363636364,0.363636364,-0.752348523,2.721623512,0.606344205,1.543514255,-0.610581618,-1.224543615,-0.890314032,-1.532439554,1.456479992,1.576506937,-0.646423091,-2.572644523,-2.084874497,-1.934061613,0.798501252,1.056356792,1.291713415,-0.700633505,-1.09961942,-1.348742055,-1.649108573,-1.239725084,-1.056779545,-0.470422113,-0.763717303,0.264586994,-0.316027811,-0.667626154,0.654943817,-0.254393068,-0.242909794,-0.099918244,-0.784475643,-0.890983001,0.94088215,-2.603310301,0.944069029,-0.341912944,0.544053575,-1.334195079,-1.020996069,-1.165347698,-2.293323465,-0.787876584,0
2016-17,NBA,GSW,33,2.363636364,-2.363636364,1.022855853,-0.236662914,2.889051799,0.767955368,2.814632335,1.475732049,1.036915235,1.45722776,0.886327682,-0.580350226,2.864788586,-0.02180207,-0.279077689,0.593405267,-0.605759566,1.401759559,0.521425599,3.567417748,2.927155922,2.955753865,0.672452039,-0.369015157,2.539719605,-0.156807371,1.361722362,-2.070004404,-0.796070057,0.38150066,-2.593989952,0.263016566,1.028929215,-1.406541432,-0.077904046,0.038004014,-1.248108885,1.918871912,-0.981334911,-0.007432888,0.049459416,1.183987685,-1.494654039,1.570686028,-0.482804942,-0.328919351,5
2016-17,NBA,HOU,33,1.272727273,-1.272727273,0.515654602,-0.236662914,0.891682654,0.813576479,0.35741363,2.982862652,3.28534938,-0.009401488,-1.808937783,-2.559322263,2.59469538,1.613353349,1.855045812,-0.212453738,0.633294097,0.106499184,0.521425599,1.180980488,0.758892276,-0.631326068,0.912613482,0.00414624,2.39191827,1.34854339,1.253649158,0.544737962,0.404035557,1.001439231,-1.124234199,1.168483426,0.444570752,1.437285507,-0.295310691,-0.384262811,0.710462041,0.696660503,0.012421961,0.327047168,0.914999194,1.05145175,0.399977841,1.165347698,0.470099543,1.022454726,2
2016-17,NBA,IND,33,0.090909091,-0.090909091,0.262053977,0.059165729,0.178336531,-0.418193519,0.580797149,-0.659369639,-0.989146303,1.06236604,0.627167541,0.687081303,-0.322311244,0.043604147,-0.552683265,1.399264273,-0.936173876,-0.325254275,-0.900644216,-0.058131166,0.758892276,0.373056313,-0.128086103,-0.244628025,-0.120704424,-0.658590958,-0.403473292,-0.575865909,0.884077802,1.001439231,-0.195967408,-1.159859928,-1.136634503,-0.176778431,0.628667551,0.418044157,1.977772639,0.696660503,0.074531765,0.43854052,-0.197837664,0.52130801,0.399977841,0.962678533,-0.387514494,-0.07394311,1
