Season,Lg,Team,Year,W,L,Age,Wt.,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS
2018-19,NBA,Oklahoma City Thunder,35,0.578625752,-0.594126156,-0.441871225,-0.671893878,0.926165146,2.193363671,-0.532571812,-0.140533109,0.056156897,-0.52506967,0.757807722,0.988809055,-0.54949572,0.174177947,1.022381611,-1.63522627,1.983671691,0.474595,1.342284772,-0.676585559,2.121373778,0.453314379,-0.066676573,1.15055883,0.776106717,-0.175633654,-0.098933673,-0.077696696,-0.479939088,-0.554091758,-0.038533986,0.097999812,0.32800181,-0.224487718,0.451451756,0.597293443,-0.599863954,-0.30398147,1.118400835,0.683968662,0.311980966,0.857849688,0.373532283,2.208647783,1.212119362,-0.033873159
2018-19,NBA,Orlando Magic,35,-0.05755963,0.122407901,-0.513526018,-1.169593047,-0.644288797,-0.072377854,-0.760816874,-0.002303821,0.032428631,-0.131267417,-0.446041612,-0.064360353,-0.742866648,-1.645883744,-1.815065151,0.408806568,-0.445314053,0.362485945,0.142387777,0.278594054,-1.318691808,0.593514702,-0.828694553,-1.844388232,-1.192874383,-0.7835963,-0.546168087,-0.559952051,-1.084904324,-0.920001409,-0.661006059,-0.236090456,0.168000927,-0.569853437,-1.068068788,-1.199721213,0.914644049,-1.606759198,1.118400835,0.008999588,-1.235032087,-1.038449622,-0.94481695,-0.950420562,-1.791828622,-1.258518149
2018-19,NBA,Philadelphia 76ers*,35,0.942160256,-0.952393184,-0.011942465,0.572354044,0.201340249,-0.638813236,0.836898561,-0.278762397,-0.394680166,0.262534835,0.387392542,0.067285823,0.514044383,2.287797975,2.103313711,0.348687955,0.364347862,1.091194802,1.150301253,1.138255706,-0.057334426,0.313114056,0.981098149,0.326948388,1.022229354,0.364777588,1.039481197,-0.559952051,-1.326890419,-0.920001409,-1.372402715,1.100270614,1.688009313,-0.512292484,0.715716198,0.648636718,0.380111813,-0.173703697,-1.284529341,-1.070950931,-1.002980129,0.451499836,-1.603991567,-0.950420562,1.054016837,0.278802157
2018-19,NBA,Phoenix Suns,35,-1.87523215,1.913743044,-1.516693124,-1.169593047,-0.704690872,-0.922030926,-0.228245062,-1.246367412,-0.655691098,-1.837743844,0.294788747,0.198931999,0.127302528,-0.001957056,-0.193667001,0.408806568,-1.153768228,-1.991804211,-2.257406214,-0.342272695,1.548029514,0.032713409,1.552611634,1.974169272,-1.020588537,0.837637425,-0.505510413,1.69057294,-0.479939088,-1.129092639,1.206410162,1.100270614,0.36800203,1.15697516,2.03703841,2.291621546,-1.223484897,1.780462895,0.406421524,1.223943921,1.085487492,1.941449294,0.043944974,1.317628507,-0.28985463,1.373165765
2018-19,NBA,Portland Trail Blazers*,35,0.85127663,-0.952393184,-0.083597259,0.074654876,0.684556847,0.635666372,0.456490124,-0.140533109,-0.228582301,0.262534835,0.61890203,0.50610641,0.078959796,0.878717956,0.166643699,1.460882293,1.275217515,0.754867637,1.246293012,-0.676585559,-1.089354102,0.032713409,-0.352433316,-0.197167348,0.874555772,0.094571967,0.388958414,-0.238448481,-0.721925182,-1.233638253,0.761787252,0.498908133,1.288007106,-0.915219156,-0.077077129,-0.070169144,0.112845694,-0.043425924,-1.729516411,-1.340938561,-1.080330782,-0.496649819,0.208738629,-1.355429324,-0.210803367,-0.085985712
2018-19,NBA,Sacramento Kings,35,-0.05755963,0.032841144,-1.158419158,-0.920743463,1.288577595,1.862943032,0.304326749,-0.071418465,-0.489593233,1.378307883,1.035619107,1.317924495,-0.694523916,-0.58907373,-0.058550489,-1.274514593,0.56676334,-0.029895748,0.238379536,0.517388957,0.860016396,-0.528087885,-0.54293781,0.551569417,0.776106717,0.634983209,0.673562132,0.163430982,0.488005291,1.275456499,-1.283478133,0.365272026,-0.312001721,0.9842923,0.97998064,0.905353098,0.469200519,1.129074031,1.919377561,2.101403718,0.15727966,0.045149984,0.373532283,1.560633764,0.421606735,0.98232162
2018-19,NBA,San Antonio Spurs,35,0.578625752,-0.504559399,1.851082159,0.074654876,0.805360997,-0.2139867,1.369470373,-0.900794192,-1.581093493,2.690982057,1.220826697,1.361806554,-0.452810256,-0.295515393,-1.004366076,1.611178825,-1.153768228,0.474595,-0.193583382,0.039799151,-1.777367219,-0.387887561,-2.06697377,-2.143882939,0.210024651,0.432328993,0.34830074,0.243806874,0.608998338,0.439091582,0.583938088,0.097999812,0.008000044,0.178438955,-1.728729893,-1.559124144,-1.045307484,-1.346203652,0.139429282,-0.598472579,0.079929008,-0.767549721,-1.274404258,-1.598434582,-1.001315995,-0.190210818
2018-19,NBA,Toronto Raptors*,35,1.396578386,-1.310660213,0.632950674,0.32350446,0.684556847,0.022028043,0.989061936,0.55061333,0.412080895,0.393802252,0.155883055,-0.371534763,0.997471703,-0.001957056,-0.463900026,1.100170616,-0.546521792,0.306431417,-0.001599863,0.326353034,0.745347544,0.593514702,-0.066676573,0.177201035,0.776106717,-0.51339068,0.14501237,-0.801079729,-0.721925182,-0.50181895,-0.749930641,-0.102454349,0.488002692,-0.80009725,-0.20920935,-0.224198971,0.112845694,0.347407394,-0.661547444,-0.32848495,-0.074772298,0.045149984,-0.780023296,0.831617992,-0.28985463,-0.659223792
2018-19,NBA,Utah Jazz,35,0.669509378,-0.683692913,0.704605467,1.567752382,-0.463082573,-1.205248617,0.380408437,0.412384042,0.506993961,-0.262534835,-0.6775511,-1.051706673,0.949128971,0.467736284,1.022381611,-1.094158754,-0.242898574,0.866976692,0.622346575,0.612906918,0.630678691,1.154315996,0.790593654,-0.047419995,-0.036097987,-0.918699111,-0.424195065,-0.801079729,-1.689869561,-2.122275978,0.139315178,0.031181758,1.208006665,-1.433267735,-0.671672124,-0.583601902,-0.68895266,-1.997592516,-0.750544858,-1.610926191,-2.47264253,1.12874959,-0.450435988,-0.140403038,0.974965574,-1.336686978
2018-19,NBA,Washington Wizards,35,-0.602861386,0.659808444,0.417986294,0.32350446,0.684556847,0.258042785,0.760816874,0.135925466,0.364624362,-0.787604505,0.43369444,-0.217947558,1.239185363,0.467736284,0.436876724,0.078154197,-0.85014501,-1.207040826,-1.441476257,0.851701822,0.860016396,-0.528087885,0.123827922,-0.047419995,0.80071898,1.580702882,0.632904458,1.449445262,1.092970528,0.543637196,1.473183908,0.966634507,0.208001148,1.214536113,0.319319534,0.083860684,1.181910167,1.519907349,0.851408593,1.426434644,1.394890103,0.180599934,-0.780023296,1.479632011,0.263504209,1.581615976
